name,platform,global_sales,critic_score,critic_count,user_score,user_count
ATV Offroad Fury Pro,PSP,0.43,76,32,,
ATV Offroad Fury: Blazin' Trails,PSP,0.57,63,32,7.8,16
ATV Quad Kings,Wii,0.22,33,4,,
Avatar: The Last Airbender,Wii,0.27,56,15,6.4,7
Avatar: The Last Airbender,PSP,0.11,57,9,6.5,8
Avatar: The Last Airbender - Into the Inferno,Wii,0.19,,,,
Avatar: The Last Airbender - The Burning Earth,Wii,0.24,,,,
Avatar: The Last Airbender - The Burning Earth,X360,0.12,,,,
Azada,3DS,0.01,,,,
B-Boy,PSP,0.04,50,11,7.8,6
B's-LOG Partyâ™ª,PSP,0.04,,,,
Babysitting Mama,Wii,0.48,,,,
Back to the Future: The Game,PS3,0.06,66,5,6.7,24
Back to the Future: The Game,Wii,0.04,66,7,3.3,4
Backbreaker,X360,0.16,54,29,7.6,66
Backbreaker,PS3,0.15,58,25,7,50
Backyard Baseball '09,Wii,0.04,37,4,7.8,5
Backyard Baseball '10,Wii,0.1,,,,
Backyard NFL Football,Wii,0.03,,,,
Backyard NFL Football '09,Wii,0.21,,,,
Backyard NFL Football '10,Wii,0.17,,,,
Backyard NFL Football '10,X360,0.1,,,,
Backyard Sports Football: Rookie Rush,Wii,0.11,,,,
Backyard Sports Football: Rookie Rush,X360,0.08,,,,
Backyard Sports: Sandlot Sluggers,Wii,0.12,,,,
Backyard Sports: Sandlot Sluggers,X360,0.08,,,3.8,4
Baja: Edge of Control,PS3,0.18,61,21,4.7,10
Baja: Edge of Control,X360,0.18,65,35,6.9,17
Bakemonogatari Portable,PSP,0.05,,,,
Bakugan Battle Brawlers: Defenders of the Core,Wii,0.14,,,,
Bakugan Battle Brawlers: Defenders of the Core,PSP,0.12,,,,
Bakugan Battle Brawlers: Defenders of the Core,PS3,0.12,50,7,,
Bakugan Battle Brawlers: Defenders of the Core,X360,0.12,62,10,,
Bakugan: Battle Brawlers,Wii,0.63,62,12,7.4,8
Bakugan: Battle Brawlers,X360,0.21,60,16,4.3,7
Bakugan: Battle Brawlers,PS3,0.21,63,10,,
Balloon Pop,Wii,0.05,,,,
Balloon Pop 2,3DS,0.01,,,,
Balls of Fury,Wii,0.02,19,6,3,23
Bamboo Blade: Sorekara no Chousen,PSP,0.01,,,,
Band Hero,Wii,0.93,79,20,7.3,12
Band Hero,X360,0.72,76,52,5,29
Band Hero,PS3,0.69,76,45,6.6,9
Banjo-Kazooie,X360,0.01,77,17,8.1,54
Banjo-Kazooie: Nuts & Bolts,X360,0.73,,,,
Barbie and the Three Musketeers,Wii,0.23,,,,
Barbie as The Island Princess,Wii,0.45,,,,
Barbie Horse Adventures: Riding Camp,Wii,0.18,,,,
Barbie: Groom and Glam Pups,Wii,0.17,,,,
"Barbie: Jet, Set & Style!",Wii,0.2,,,,
Barnyard,Wii,0.04,65,15,5.7,7
Baroque,Wii,0.07,50,22,7.7,20
Baseball Blast!,Wii,0.14,,,8,4
